date,title,amount
2024-09-01,Lupi Comercio de Alime,68.90
2024-09-01,Gelateria Freddo,18.95
2024-09-01,Dm*Helpmaxcom,19.95
2024-09-01,Estimada,15.00
2024-08-30,Natura Pay*Atn - B3,93.85
2024-08-27,Netflix Entretenimento,20.90
2024-08-23,Wemobi - Mobilidade e - Parcela 1/2,114.94
2024-08-23,Brukar Oficina,150.00
2024-08-23,Uber *Uber *Trip,28.94
2024-08-21,Uber *Uber *Trip,11.90
2024-08-21,Uber *Uber *Trip,27.98
2024-08-20,Uber *Uber *Trip,19.98
2024-08-17,Uber *Uber *Trip,18.11
2024-08-17,Uber *Uber *Trip,14.98
2024-08-17,Shopee *Jrbeleza,52.58
2024-08-15,Ifd*Bdg Delivery de Al,46.89
2024-08-12,Hai Poke,59.00
2024-08-12,Mp *Gamplay,9.99
2024-08-12,Gelatony,30.00
2024-08-09,Saldo restante da fatura anterior,0.00
2024-08-09,Saldo restante da fatura anterior,0.00
2024-08-09,Pagamento recebido,-1837.54
2024-08-06,Uber *Uber *Trip,14.97
2024-08-04,Amazon - Parcela 1/3,73.92
2024-08-02,App*Barbeariaon1210 - Parcela 2/2,103.41
2024-08-02,Jucilene da Silva - Parcela 5/6,120.00
2024-08-02,Clicktrip*Clicktrip - Parcela 4/4,71.70
2024-08-02,Wemobi - Parcela 2/2,109.41
2024-08-02,Azul We*Vhuqvssousa - Parcela 2/4,117.77
