date,title,amount
2024-10-01,Maderovillaromana,81.40
2024-10-01,Pg *Vakinha.Com,60.00
2024-10-01,Uber *Uber *Trip,15.99
2024-10-01,Dm*Helpmaxcom,19.95
2024-09-30,Uber *Uber *Trip,9.99
2024-09-30,Riachuelo Lo*Riachuelo - Parcela 1/2,54.90
2024-09-30,Wellhub Gympass Br Gym,85.90
2024-09-28,Cat - Ag 691 - Florian - Parcela 1/3,110.80
2024-09-27,Netflix.Com,20.90
2024-09-24,Wemobi - Mobilidade e - Parcela 1/2,137.99
2024-09-23,Mercadolivre*2produto - Parcela 1/3,69.67
2024-09-19,Izaelrauelvieira,55.00
2024-09-19,Ifd*Abm Comercio de Pi,77.00
2024-09-17,Uber *Uber *Trip,8.95
2024-09-16,Uber *Uber *Trip,6.67
2024-09-15,Uber *Uber *Trip,24.89
2024-09-15,Bar Urca,49.00
2024-09-15,Bar Urca,44.00
2024-09-15,Bondinho Pao de Acucar,27.00
2024-09-14,Gerlaine Norberta da S,8.00
2024-09-14,Drogariamoderna08,7.39
2024-09-14,Outer - Parcela 1/3,116.34
2024-09-14,Foto Grafica,45.00
2024-09-14,Gregora Arte Cafe,8.69
2024-09-14,la Gustosa Rest Ltda M,189.89
2024-09-14,Metro Rj,7.50
2024-09-14,Confeitaria Colombo,44.92
2024-09-13,Uber *Uber *Trip,30.48
2024-09-13,Cleyton G. Montuan Re,29.00
2024-09-13,Uber *Uber *Trip,12.29
2024-09-12,Mp *Ingressos571,67.20
2024-09-12,Phfa Restaurante,57.40
2024-09-12,Uber *Uber *Trip,24.94
2024-09-12,Uber *Uber *Trip,51.18
2024-09-11,Scspa,310.00
2024-09-09,Pagamento recebido,-1434.02
2024-09-09,Saldo restante da fatura anterior,0.00
2024-09-09,Saldo restante da fatura anterior,0.00
2024-09-09,Ifd*49.800.943 Bianca,51.99
2024-09-08,Havan Floripa Via Expr - Parcela 1/3,83.34
2024-09-07,Ifd*56.118.913 Elivelt,37.99
2024-09-05,Sympla - NuPay,67.78
2024-09-04,Campinas Av Kennedy,67.80
2024-09-02,Amazon - Parcela 2/3,73.91
2024-09-02,Azul We*Vhuqvssousa - Parcela 3/4,117.77
2024-09-02,Wemobi - Mobilidade e - Parcela 2/2,114.94
2024-09-02,Jucilene da Silva - Parcela 6/6,120.00
2024-09-02,Uber *Uber *Trip,17.92
