date,title,amount
2024-07-01,Dm*Helpmaxcom,17.45
2024-07-01,Ebn *Sonyplaystatn,15.95
2024-06-30,Merci Downtown,120.00
2024-06-29,Pag*Parrilenha,57.00
2024-06-29,Meu Jardim Food Park,18.00
2024-06-28,Netflix.Com,20.90
2024-06-26,Google Storage,7.99
2024-06-26,Restaurante Antenas,28.53
2024-06-25,"Estorno de ""Pag*Pensanoevento""",-66.00
2024-06-23,Merci Downtown,55.00
2024-06-23,Boteco,58.90
2024-06-22,Pag*Pensanoevento,66.00
2024-06-22,Kibelandia,55.00
2024-06-21,Estrela Poke Sushi,55.00
2024-06-19,Niko Sushi Bar,29.90
2024-06-18,Raia3429,33.59
2024-06-17,Hna*Oboticario - Parcela 1/2,98.50
2024-06-17,Itaguacu Administrado,14.00
2024-06-15,Mba Usp Esalq,590.00
2024-06-13,Raia3429,47.47
2024-06-13,Dunas Burguer,12.00
2024-06-13,Dunas Burguer,6.00
2024-06-10,Pagamento recebido,-1823.75
2024-06-10,Saldo restante da fatura anterior,0.00
2024-06-10,Aliexpress - Parcela 1/2,45.81
2024-06-10,Saldo restante da fatura anterior,0.00
2024-06-04,Pag*Principiaes,39.00
2024-06-02,Wemobi - Parcela 3/3,42.12
2024-06-02,Hna*Oboticario - Parcela 2/3,118.48
2024-06-02,Jucilene da Silva - Parcela 3/6,120.00
2024-06-02,Mercadolivre*Mercadol - Parcela 2/2,24.50
2024-06-02,Decathlon Paulista - Parcela 2/2,88.49
2024-06-02,Via Brasil Continente - Parcela 2/3,46.66
2024-06-02,Clicktrip*Clicktrip - Parcela 2/4,71.70
