date,title,amount
2024-08-01,Dm*Helpmaxcom,17.45
2024-07-31,Pag*Welovesushi,45.00
2024-07-31,Azul We*Vhuqvssousa - Parcela 1/4,117.78
2024-07-29,App*Barbeariaon1210 - Parcela 1/2,103.41
2024-07-28,Tamar Sul,149.00
2024-07-28,Cafe Pacai,55.00
2024-07-27,Spitfire Pizza Lagoa,29.00
2024-07-27,Liffey,15.00
2024-07-27,Netflix.Com,20.90
2024-07-25,Google One,79.90
2024-07-22,Pit Floripa Smoked Hou,113.93
2024-07-20,Pag*Alamirritamaria,14.00
2024-07-20,Pag*Kebabfaruk,60.00
2024-07-18,Wemobi - Parcela 1/2,109.42
2024-07-18,Dunas Burguer,12.00
2024-07-18,Dunas Burguer,6.00
2024-07-14,Silva Kosinski Pizzar,89.90
2024-07-11,Mp *Ingressos690,112.00
2024-07-10,Saldo restante da fatura anterior,0.00
2024-07-10,Pagamento recebido,-1937.94
2024-07-10,Saldo restante da fatura anterior,0.00
2024-07-06,Pg *Ton Very Pizza,71.00
2024-07-02,Clicktrip*Clicktrip - Parcela 3/4,71.70
2024-07-02,Hna*Oboticario - Parcela 2/2,98.50
2024-07-02,Via Brasil Continente - Parcela 3/3,46.66
2024-07-02,Panvel Farmacias,115.71
2024-07-02,Jucilene da Silva - Parcela 4/6,120.00
2024-07-02,Hna*Oboticario - Parcela 3/3,118.48
2024-07-02,Aliexpress - Parcela 2/2,45.80
